id;title;description;publicationdate;price
1;Table Fish;a programming;2022-03-14;32786
2;Bangladesh c;radical c Coordinateur;2022-03-14;45797
3;d'Orsel;Borders Espagne Monsieur-le-Prince;2022-03-14;96215
4;architectures auxiliary Pula;a b calculating;2022-03-13;14541
5;Alsace Soft FTP;Bourgogne Generic;2022-03-13;16847
6;bus;cross-platform;2022-03-13;78128
7;Berkshire Jordanian application;turn-key Soft;2022-03-13;83632
8;du relationships;generate de syndicate;2022-03-14;11906
9;e-business indigo Account;Suriname Personal programming;2022-03-13;341
10;Developpeur;Future-proofed;2022-03-14;93660
